,main_temp,main_feels_like,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,Day,hour,minute,year_2020,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
49,9,6,978,93,8,10,4.1,160.0,28,23,10,1,0,1,0,0,0,0,0,0,0,0,0,0
50,9,6,978,93,7,10,4.1,160.0,28,23,20,1,0,1,0,0,0,0,0,0,0,0,0,0
51,9,6,977,93,7,10,4.1,150.0,28,23,32,1,0,1,0,0,0,0,0,0,0,0,0,0
52,9,6,977,93,9,10,4.1,150.0,28,23,40,1,0,1,0,0,0,0,0,0,0,0,0,0
53,9,6,977,93,9,10,4.6,170.0,28,23,50,1,0,1,0,0,0,0,0,0,0,0,0,0
54,9,6,977,93,9,10,4.6,170.0,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55,8,5,977,93,6,9,4.6,170.0,29,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0
56,8,4,977,93,6,9,4.6,170.0,29,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0
57,8,4,977,93,6,9,4.6,170.0,29,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0
58,6,-4,976,87,5,7,13.9,260.0,29,0,40,1,0,1,0,0,0,0,0,0,0,0,0,0
59,6,-4,976,87,5,7,13.9,260.0,29,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0
60,2,-5,975,78,1,3,9.3,240.0,1,1,50,1,0,0,1,0,0,0,0,0,0,0,0,0
61,3,-5,976,78,1,3,9.3,250.0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62,3,-5,976,78,1,3,9.3,250.0,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0
63,3,-5,976,78,1,3,9.3,250.0,1,2,20,1,0,0,1,0,0,0,0,0,0,0,0,0
64,2,-6,976,74,1,3,9.8,240.0,1,2,30,1,0,0,1,0,0,0,0,0,0,0,0,0
65,2,-6,976,74,1,3,9.8,240.0,1,2,40,1,0,0,1,0,0,0,0,0,0,0,0,0
66,2,-5,976,78,1,3,9.3,240.0,1,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0
67,2,-5,976,78,1,3,9.3,240.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
68,2,-5,976,78,1,3,9.3,240.0,1,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0
69,2,-6,976,78,1,3,9.8,240.0,1,3,20,1,0,0,1,0,0,0,0,0,0,0,0,0
70,2,-6,976,78,1,3,9.8,240.0,1,3,30,1,0,0,1,0,0,0,0,0,0,0,0,0
71,2,-6,976,78,1,3,9.8,240.0,1,3,40,1,0,0,1,0,0,0,0,0,0,0,0,0
72,2,-6,976,78,1,3,9.8,240.0,1,3,50,1,0,0,1,0,0,0,0,0,0,0,0,0
73,2,-6,976,78,1,2,10.3,250.0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
74,2,-6,976,78,1,2,10.3,250.0,1,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0
75,2,-6,976,78,1,2,10.3,250.0,1,4,20,1,0,0,1,0,0,0,0,0,0,0,0,0
76,2,-7,976,78,1,2,11.3,250.0,1,4,30,1,0,0,1,0,0,0,0,0,0,0,0,0
77,2,-7,976,75,1,2,11.3,250.0,1,4,40,1,0,0,1,0,0,0,0,0,0,0,0,0
78,2,-7,977,75,1,2,10.3,250.0,1,4,50,1,0,0,1,0,0,0,0,0,0,0,0,0
79,2,-6,977,75,2,2,10.3,250.0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
80,2,-6,977,75,2,2,10.3,250.0,1,5,10,1,0,0,1,0,0,0,0,0,0,0,0,0
81,1,-5,978,75,1,2,7.7,240.0,1,5,20,1,0,0,1,0,0,0,0,0,0,0,0,0
82,1,-5,978,75,1,2,7.7,240.0,1,5,30,1,0,0,1,0,0,0,0,0,0,0,0,0
83,2,-5,978,75,1,2,7.7,240.0,1,5,40,1,0,0,1,0,0,0,0,0,0,0,0,0
84,2,-5,978,75,1,2,7.7,240.0,1,5,50,1,0,0,1,0,0,0,0,0,0,0,0,0
85,2,-5,978,75,1,2,8.2,240.0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0
86,2,-5,978,75,1,2,8.2,240.0,1,6,10,1,0,0,1,0,0,0,0,0,0,0,0,0
87,2,-5,978,75,1,2,8.2,240.0,1,6,20,1,0,0,1,0,0,0,0,0,0,0,0,0
88,2,-5,978,75,1,2,7.7,240.0,1,6,30,1,0,0,1,0,0,0,0,0,0,0,0,0
89,2,-5,978,75,1,2,7.7,240.0,1,6,40,1,0,0,1,0,0,0,0,0,0,0,0,0
90,2,-5,978,75,1,2,7.7,240.0,1,6,50,1,0,0,1,0,0,0,0,0,0,0,0,0
91,2,-5,979,75,1,2,7.2,240.0,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0
92,2,-5,979,75,1,2,7.2,240.0,1,7,10,1,0,0,1,0,0,0,0,0,0,0,0,0
93,2,-5,979,75,1,2,7.2,240.0,1,7,20,1,0,0,1,0,0,0,0,0,0,0,0,0
94,2,-5,979,75,1,2,7.2,240.0,1,7,30,1,0,0,1,0,0,0,0,0,0,0,0,0
95,2,-5,979,75,1,2,7.2,240.0,1,7,40,1,0,0,1,0,0,0,0,0,0,0,0,0
96,1,-5,979,71,1,2,6.7,230.0,1,7,50,1,0,0,1,0,0,0,0,0,0,0,0,0
97,1,-5,979,75,1,2,6.7,230.0,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0
98,1,-4,979,75,1,2,6.7,230.0,1,8,10,1,0,0,1,0,0,0,0,0,0,0,0,0
99,2,-4,979,71,1,2,6.7,230.0,1,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0
100,1,-5,980,71,1,2,6.7,230.0,1,8,30,1,0,0,1,0,0,0,0,0,0,0,0,0
101,2,-4,980,71,1,2,6.7,230.0,1,8,40,1,0,0,1,0,0,0,0,0,0,0,0,0
102,2,-4,980,71,1,2,6.7,230.0,1,8,50,1,0,0,1,0,0,0,0,0,0,0,0,0
103,2,-4,980,71,1,3,6.2,230.0,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0
104,2,-4,980,71,1,3,6.2,230.0,1,9,10,1,0,0,1,0,0,0,0,0,0,0,0,0
105,2,-3,980,71,1,3,6.2,230.0,1,9,20,1,0,0,1,0,0,0,0,0,0,0,0,0
